X,Y,OBJECTID,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Recovered,Deaths,Active,Admin2,FIPS,Combined_Key
-69.2877999999999,4.42340000000007,180,Vichada,Colombia,2022/04/30 11:21:00+00,4.4234,-69.2878,3400,0,62,0,,,"Vichada, Colombia"
43.3333000000001,-11.6455,181,,Comoros,2022/04/30 11:21:00+00,-11.6455,43.3333,8105,0,160,0,,,Comoros
15.8277000000001,-0.228,182,,Congo (Brazzaville),2022/04/30 11:21:00+00,-0.228,15.8277,24079,0,385,0,,,Congo (Brazzaville)
21.7587,-4.03829999999994,183,,Congo (Kinshasa),2022/04/30 11:21:00+00,-4.0383,21.7587,87023,0,1337,0,,,Congo (Kinshasa)
-83.7533999999999,9.74890000000005,184,,Costa Rica,2022/04/30 11:21:00+00,9.7489,-83.7534,852074,0,8405,0,,,Costa Rica
-5.54709999999994,7.54000000000002,185,,Cote d'Ivoire,2022/04/30 11:21:00+00,7.54,-5.5471,81930,0,799,0,,,Cote d'Ivoire
15.2,45.1000000000001,186,,Croatia,2022/04/30 11:21:00+00,45.1,15.2,1121662,0,15822,0,,,Croatia
-77.781167,21.521757,187,,Cuba,2022/04/30 11:21:00+00,21.521757,-77.781167,1102750,0,8526,0,,,Cuba
33.4299,35.1264,188,,Cyprus,2022/04/30 11:21:00+00,35.1264,33.4299,480220,0,1015,0,,,Cyprus
15.4730000000001,49.8175000000001,189,,Czechia,2022/04/30 11:21:00+00,49.8175,15.473,3905101,0,40155,0,,,Czechia
9.50180000000006,56.2639,190,,Denmark,2022/04/30 11:21:00+00,56.2639,9.5018,3115721,0,6149,0,,,Denmark
-6.91179999999997,61.8926000000001,191,Faroe Islands,Denmark,2022/04/30 11:21:00+00,61.8926,-6.9118,34658,0,28,0,,,"Faroe Islands, Denmark"
-42.6043,71.7069000000001,192,Greenland,Denmark,2022/04/30 11:21:00+00,71.7069,-42.6043,11971,0,21,0,,,"Greenland, Denmark"
,,193,,Diamond Princess,2022/04/30 11:21:00+00,,,712,0,13,0,,,Diamond Princess
42.5903000000001,11.8251000000001,194,,Djibouti,2022/04/30 11:21:00+00,11.8251,42.5903,15611,0,189,0,,,Djibouti
-61.371,15.4150000000001,195,,Dominica,2022/04/30 11:21:00+00,15.415,-61.371,12033,0,63,0,,,Dominica
-70.1627,18.7357000000001,196,,Dominican Republic,2022/04/30 11:21:00+00,18.7357,-70.1627,579248,0,4376,0,,,Dominican Republic
-78.1833999999999,-1.83119999999997,197,,Ecuador,2022/04/30 11:21:00+00,-1.8312,-78.1834,869124,0,35588,0,,,Ecuador
30.8024980000001,26.8205530000001,198,,Egypt,2022/04/30 11:21:00+00,26.820553,30.802498,515645,0,24613,0,,,Egypt
-88.8964999999999,13.7942,199,,El Salvador,2022/04/30 11:21:00+00,13.7942,-88.8965,162089,0,4128,0,,,El Salvador
10.2679000000001,1.65080000000006,200,,Equatorial Guinea,2022/04/30 11:21:00+00,1.6508,10.2679,15907,0,183,0,,,Equatorial Guinea
39.7823000000001,15.1794,201,,Eritrea,2022/04/30 11:21:00+00,15.1794,39.7823,9734,0,103,0,,,Eritrea
25.0136000000001,58.5953000000001,202,,Estonia,2022/04/30 11:21:00+00,58.5953,25.0136,572193,0,2539,0,,,Estonia
31.4659,-26.5225,203,,Eswatini,2022/04/30 11:21:00+00,-26.5225,31.4659,70626,0,1397,0,,,Eswatini
40.4897,9.14500000000004,204,,Ethiopia,2022/04/30 11:21:00+00,9.145,40.4897,470550,0,7510,0,,,Ethiopia
178.065,-17.7134,205,,Fiji,2022/04/30 11:21:00+00,-17.7134,178.065,64634,0,862,0,,,Fiji
25.7481510000001,61.92411,206,,Finland,2022/04/30 11:21:00+00,61.92411,25.748151,1023013,0,3939,0,,,Finland
2.21370000000007,46.2276000000001,207,,France,2022/04/30 11:21:00+00,46.2276,2.2137,27829894,0,142678,0,,,France
-52.9999999999999,4.00000000000006,208,French Guiana,France,2022/04/30 11:21:00+00,4,-53,80859,0,395,0,,,"French Guiana, France"
-149.4068,-17.6797,209,French Polynesia,France,2022/04/30 11:21:00+00,-17.6797,-149.4068,72720,0,648,0,,,"French Polynesia, France"
-61.551,16.265,210,Guadeloupe,France,2022/04/30 11:21:00+00,16.265,-61.551,147607,0,942,0,,,"Guadeloupe, France"
-61.0242,14.6415000000001,211,Martinique,France,2022/04/30 11:21:00+00,14.6415,-61.0242,151972,0,918,0,,,"Martinique, France"
45.1662440000001,-12.8274999999999,212,Mayotte,France,2022/04/30 11:21:00+00,-12.8275,45.166244,37363,0,187,0,,,"Mayotte, France"
165.618042,-20.904305,213,New Caledonia,France,2022/04/30 11:21:00+00,-20.904305,165.618042,60653,0,312,0,,,"New Caledonia, France"
55.5364000000001,-21.1150999999999,214,Reunion,France,2022/04/30 11:21:00+00,-21.1151,55.5364,387184,0,749,0,,,"Reunion, France"
-62.8333,17.9,215,Saint Barthelemy,France,2022/04/30 11:21:00+00,17.9,-62.8333,4544,0,6,0,,,"Saint Barthelemy, France"
-56.3158999999999,46.8852000000001,216,Saint Pierre and Miquelon,France,2022/04/30 11:21:00+00,46.8852,-56.3159,2701,0,1,0,,,"Saint Pierre and Miquelon, France"
-63.0501,18.0708000000001,217,St Martin,France,2022/04/30 11:21:00+00,18.0708,-63.0501,10462,0,63,0,,,"St Martin, France"
-178.1165,-14.2938,218,Wallis and Futuna,France,2022/04/30 11:21:00+00,-14.2938,-178.1165,454,0,7,0,,,"Wallis and Futuna, France"
11.6094000000001,-0.8037,219,,Gabon,2022/04/30 11:21:00+00,-0.8037,11.6094,47602,0,304,0,,,Gabon
-15.3101,13.4432,220,,Gambia,2022/04/30 11:21:00+00,13.4432,-15.3101,11995,0,365,0,,,Gambia
43.3569000000001,42.3154000000001,221,,Georgia,2022/04/30 11:21:00+00,42.3154,43.3569,1655098,0,16807,0,,,Georgia
9.35010000000005,48.6616000000001,222,Baden-Wurttemberg,Germany,2022/04/30 11:21:00+00,48.6616,9.3501,3487649,0,15757,0,,,"Baden-Wurttemberg, Germany"
11.4979000000001,48.7904,223,Bayern,Germany,2022/04/30 11:21:00+00,48.7904,11.4979,4634543,0,23559,0,,,"Bayern, Germany"
13.405,52.52,224,Berlin,Germany,2022/04/30 11:21:00+00,52.52,13.405,1000143,0,4485,0,,,"Berlin, Germany"
12.5316,52.4125000000001,225,Brandenburg,Germany,2022/04/30 11:21:00+00,52.4125,12.5316,762694,0,5559,0,,,"Brandenburg, Germany"
8.80170000000004,53.0793,226,Bremen,Germany,2022/04/30 11:21:00+00,53.0793,8.8017,185997,0,753,0,,,"Bremen, Germany"
9.99370000000005,53.5511000000001,227,Hamburg,Germany,2022/04/30 11:21:00+00,53.5511,9.9937,544329,0,2526,0,,,"Hamburg, Germany"
9.16240000000005,50.6521000000001,228,Hessen,Germany,2022/04/30 11:21:00+00,50.6521,9.1624,1726514,0,9918,0,,,"Hessen, Germany"
12.4296000000001,53.6127000000001,229,Mecklenburg-Vorpommern,Germany,2022/04/30 11:21:00+00,53.6127,12.4296,467650,0,2158,0,,,"Mecklenburg-Vorpommern, Germany"
9.84510000000006,52.6367000000001,230,Niedersachsen,Germany,2022/04/30 11:21:00+00,52.6367,9.8451,2160695,0,8750,0,,,"Niedersachsen, Germany"
